CO2 (ppm),Humidity (%),Light (lux),Motion,Temperature (Deg_Cel),HP_Unit_Mode,HP_CONS (kW),HP_CONS (Wh),HP_CONS_Electricity_kWh,HP_DEL (kW),HP_DEL (Wh),HP_DEL_Electricity_kWh,HP_Defrost,HP_Room_temp (Deg_Cel),HP_Room_temp_Zone2 (Deg_Cel),HP_Ref_liquid_temp (Deg_Cel),HP_Outdoor_ambient_temp (Deg_Cel),HP_Flow_temp (Deg_Cel),HP_Return_temp (Deg_Cel),HP_Tank_water_temp_lower (Deg_Cel),HP_Flow_temp_Zone1 (Deg_Cel),HP_Return_temp_Zone1 (Deg_Cel),HP_Flow_temp_Zone2 (Deg_Cel),HP_Return_temp_Zone2 (Deg_Cel),HP_Flow_temp_Boiler (Deg_Cel),HP_Return_temp_Boiler (Deg_Cel),HP_Room_thermo_1_IN1 (Deg_Cel),HP_Room_thermo_2_IN6 (Deg_Cel),HP_Flow_SW1_IN2 (Deg_Cel),HP_Flow_SW2_IN3 (Deg_Cel),HP_Flow_SW3_IN7 (Deg_Cel),HP_Demand_IN4 (Deg_Cel),HP_Outdoor_thermo_IN5 (Deg_Cel),HP_Flow_rate (L/min),Total_Electricity (kWh),Outdoor_HP_Unit (kWh),Indoor_HP_Unit (kWh),Shower (kWh),Immersion (kWh),Out_Solar (kw_per_m2),Out_Solar (kj_per_m2),Out_WindSpeed (m/s),Out_WindDirection (Deg),Out_Gust_3s (m/s),Out_Pressure (mBar),Out_TotalSolar (W_per_m2),Out_DiffuseSolar (W_per_m2),Out_TotalSolar.Wm2,Out_DiffuseSolar.W/m2
492.3636363636364,60.81818181818182,499.54545454545456,0,19.318181818181817,0,0,0.0,0.0,0,0.0,0.0,0,18.40833333333333,-39,24.0125,14.116666666666667,20.5,21.5,49.0,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,1.2935,0.010475,0.0,12.38,99.8,0.156,10.46849,2.854,134.4,5.0,1023,1176.0,1136.0
480.3636363636364,60.0,455.54545454545456,0,19.545454545454547,0,0,0.0,0.0,0,0.0,0.0,0,18.8,-39,23.516666666666666,15.3,20.391666666666666,21.10833333333333,48.891666666666666,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.327025,0.01085,7.500000000000001e-05,13.02,99.8,0.401,24.0626,3.979,123.2,5.418,1023,1258.0,1248.0
470.0,60.0,152.41666666666666,0,19.541666666666668,0,0,0.0,0.0,0,0.0,0.0,0,18.825,-39,23.216666666666665,16.0,20.425,21.0,48.516666666666666,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.262925,0.010775,2.5e-05,13.12,99.8,0.209,14.7687,2.75,120.5,3.75,1022,1257.0,1248.0
483.6666666666667,60.833333333333336,412.4166666666667,0,19.23333333333333,0,0,0.0,0.0,0,0.0,0.0,0,18.5,-39,23.0,16.0,20.5,21.0,48.49166666666667,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.2858,0.01085,2.5e-05,15.42,99.9,0.511,25.79046,1.125,94.6,2.082,1022,1258.0,1249.0
484.7,61.0,122.4,0,19.17,0,0,0.0,0.0,0,0.0,0.0,0,18.475,-39,23.0,15.933333333333334,20.475,21.0,48.00833333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.1568999999999999,0.0108,7.500000000000001e-05,15.94,99.9,0.109,6.567866,3.207,139.2,4.582,1021,720.0,694.5
463.8181818181818,61.0,24.63636363636364,0,18.69090909090909,0,0,0.0,0.0,0,0.0,0.0,0,18.025,-39,22.616666666666667,15.216666666666669,20.15,20.766666666666666,47.95,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.324475,0.0108,5e-05,16.28,99.9,0.295,16.67787,3.543,107.4,6.25,1021,1257.0,1248.0
551.1,62.3,8.1,17,18.4,0,0,0.0,0.0,0,0.0,0.0,0,18.0,-39,22.5,15.0,20.125,20.5,47.5,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.272475,0.010775,0.0,16.22,99.9,0.116,6.690646,4.168,132.4,6.668,1020,736.0,711.0
498.1818181818182,63.90909090909091,2.727272727272727,3,18.06363636363637,0,0,0.0,0.0,0,0.0,0.0,0,18.133333333333333,-39,22.5,14.366666666666667,20.0,20.5,47.30833333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.2042,0.010275,2.5e-05,15.82,77.7,0.013,0.7962002,5.043,116.2,7.5,1020,87.5,84.1
781.7777777777778,66.0,32.666666666666664,10,18.200000000000003,0,0,0.0,0.0,0,0.0,0.0,0,18.025,-39,21.60833333333333,13.8,19.525,20.35,38.25833333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,1.222575,0.01065,0.0,14.67,88.5,0.0,0.0,4.02,108.4,7.5,1020,2.03,1.015
1022.1666666666666,68.5,6.75,8,18.766666666666666,0,11,183.3333333333333,0.1833333333333333,73,1216.6666666666663,1.2166666666666666,0,18.0,-39,21.516666666666666,12.766666666666667,21.83333333333333,20.766666666666666,31.15833333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,5.9,1,0,1.212,0.340725,0.0,13.83,90.1,0.0,0.0,3.771,101.3,7.082,1020,2.03,1.015
1272.0,68.41666666666667,0.5,8,19.091666666666665,0,69,1150.0,1.15,202,3366.6666666666665,3.3666666666666663,0,17.875,-39,37.708333333333336,12.25,33.11666666666667,35.083333333333336,45.583333333333336,25,25,25,25,25,25,0,0,0,0,0,0,0,7.566666666666666,1,0,1.684575,1.2786,2.5e-05,12.89,100.0,0.0,0.0,3.043,112.3,4.582,1020,2.03,1.015
1272.1666666666667,68.33333333333333,0.25,4,19.166666666666668,0,0,0.0,0.0,0,0.0,0.0,0,17.5,-39,24.975,13.0,20.85833333333333,22.291666666666668,49.083333333333336,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.441725,0.01115,5e-05,12.22,99.9,0.0,0.0,2.396,89.8,5.418,1019,2.2,1.015
1299.5454545454545,68.0,0.5454545454545454,2,19.42727272727273,0,0,0.0,0.0,0,0.0,0.0,0,17.5,-39,24.266666666666666,12.966666666666669,20.5,21.725,49.0,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.259775,0.01115,5e-05,12.18,99.9,0.0,0.0,2.188,94.6,3.75,1019,2.03,1.015
1253.1666666666667,67.08333333333333,0.75,2,19.6,0,0,0.0,0.0,0,0.0,0.0,0,17.5,-39,23.8,13.0,20.5,21.491666666666667,48.766666666666666,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.311475,0.0112249999999999,0.0,12.55,99.9,0.0,0.0,1.833,106.9,2.5,1018,2.03,1.015
1255.8333333333333,66.83333333333333,0.0,1,19.59166666666667,0,0,0.0,0.0,0,0.0,0.0,0,17.5,-39,23.5,13.0,20.5,21.058333333333334,48.5,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.27175,0.01125,2.5e-05,13.26,99.9,0.0,0.0,2.918,126.9,4.582,1017,2.03,1.015
1083.9166666666667,66.0,0.0,3,19.475,0,0,0.0,0.0,0,0.0,0.0,0,17.5,-39,23.45833333333333,13.0,20.5,21.0,48.34166666666667,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.2007,0.011275,0.0,13.3,99.9,0.0,0.0,3.082,115.5,5.418,1017,2.03,1.015
1128.0833333333333,66.5,0.0,2,19.416666666666668,0,0,0.0,0.0,0,0.0,0.0,0,17.5,-39,23.0,13.0,20.308333333333334,21.0,48.0,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.338125,0.011275,5e-05,13.3,99.9,0.0,0.0,3.062,135.6,5.832,1016,2.03,1.015
1070.8,66.0,0.0,1,19.47,0,0,0.0,0.0,0,0.0,0.0,0,17.5,-39,23.0,13.0,20.03333333333333,21.0,47.925,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.21635,0.0112249999999999,5e-05,12.93,99.9,0.0,0.0,1.667,156.2,3.332,1015,2.03,1.015
1056.9166666666667,65.75,0.0,2,19.383333333333333,0,0,0.0,0.0,0,0.0,0.0,0,17.3,-39,23.0,13.0,20.0,20.966666666666665,47.50833333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.3282,0.011125,7.500000000000001e-05,12.65,99.9,0.0,0.0,3.582,111.8,5.0,1015,2.03,1.015
953.2,66.7,16.5,16,19.11,0,0,0.0,0.0,0,0.0,0.0,0,17.0,-39,22.75,13.0,20.03333333333333,20.525,47.29166666666666,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.5264249999999999,0.010875,5e-05,12.86,99.9,0.0,0.0,3.146,103.8,4.582,1015,2.03,1.015
711.5833333333334,68.08333333333333,2.5,0,18.35,0,0,0.0,0.0,0,0.0,0.0,0,17.0,-39,22.5,13.0,20.2,20.5,46.825,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.2663,0.010975,0.0001,12.59,99.8,0.0,0.0,2.668,107.6,4.168,1014,2.03,1.015
