Participant_Age,EmployStatus,EmployType,HouseIncome,Tenure,Tenure_Length,Social_Group,HP_Awareness,House_Type,House_Form,House_Env,House_Age,House_SAP,No_Adults,No_Child,No_Storeys,Total_Floor_Area,Habitable_Rooms,Bedrooms,Heated_rooms,Floor_Height,Wall_Type,Floor_Type,Roof_Type,Glazed_Type,Mains_Gas_Flag,Main_Fuel,Heat_Primary_Source,Heat_Secondary_Source,TS_Existing,TS_Existing_Size,No_Underfloor,Existing_Fires,Existing_Cooking,Outside_Space,Outside_Access,Elec_currentuse,Gas_currentuse,MCS_SHLoad,MCS_Hloss,MCS_SHAnnual,MCS_DHWAnnual,MCS_Immersion,MCS_Flow_Temp,MCS_SCOP,Suit_ASHP,Suit_GSHP,Suit_HTASHP,Suit_Hybrid,HP_Recommend,Measures_Recommend,EstCost_System,EstCost_Ancillary,EstCost_Running,EstCost_Etariff,EstCost_Gtariff,Part_Install_Decision,HP_Installed,HP_Installed_Detail,HP_Brand,HP_Model,HP_Size_kW,HP_Refrigerant,GSHP_Space,TS_Type,TS_Water_Size,TS_PCM_Size,HP_Control_Zones,Measures_emitters_LT,Measures_emitters_Std,Measures_Fanassist,HP_Aesthetic,HP_Noise,Cooling,Cooling_Rooms,Fires_replaced,Cook_Replaced,Gas_disconnect,Measures_Loft,Measures_Windows,Measures_Doors,Measures_WI,Measures_DP,Cost_HP,Cost_TS,Cost_Install,Cost_Emitters,Cost_Cooling,Cost_LI,Cost_WI,Cost_Window,Cost_Door,Cost_DP,Install_time_HP,Install_time_measures,Dwelling_Type
55.0,working full time (>30hrs),manager,"50,001+",owner-occupied,24.0,ab,4.0,house,detached,urban,1983 - 1990,,2.0,0.0,2.0,110.0,5.0,4.0,6.0,2.4,cavity_insulated,solid,pitched,double,yes,gas,gas boiler - standard,fire - gas,water,110.0,0.0,1.0,1.0,no,no,5711.0,17064.0,8.01,72.81,16040.5,5609.0,834.0,,,no,no,yes,no,ht_ashp,none required,17904.93,0.0,1099.0,14.3,3.8,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_detached_2.0_2.0_0.0
85.0,retired,pensioner,"25,001 - 30,000",owner-occupied,30.0,de,4.0,house,detached,suburban,1983 - 1990,,2.0,0.0,1.0,100.0,5.0,3.0,6.0,2.3,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - combi,,,,0.0,0.0,0.0,no,no,2492.0,7797.0,5.386,53.86,13051.0,3566.0,0.0,55.0,2.96,yes,no,yes,yes with additional measures,hybrid,loft insulation,9875.86,200.0,654.0,14.3,3.8,yes,hybrid,separate_new boiler,daikin,ehy2komb28aa,4.0,r32,,,,,1.0,8.0,0.0,0.0,none,none,no,0.0,0.0,0.0,no,yes,0.0,0.0,,no,5739.82,,,2500.86,0.0,500.0,0.0,0.0,0.0,0.0,2.0,0.5,house_detached_1.0_2.0_0.0
62.0,retired,pensioner,"16,201 - 20,000",owner-occupied,22.0,de,2.0,house,detached,unknown,1976 - 1982,,2.0,0.0,2.0,68.0,4.0,3.0,4.0,2.38,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - combi,unknown,,,0.0,0.0,1.0,no,no,3000.0,8500.0,6.34,91.86,14063.0,2692.0,145.0,45.0,3.57,yes,no,yes,yes,ashp,none required,11678.78,,696.0,14.3,3.8,yes,ashp,,daikin,edlq07cav3,7.0,r410a,,water_new,200.0,,1.0,8.0,0.0,0.0,none,none,no,0.0,0.0,0.0,no,no,0.0,0.0,,no,5648.01,1752.34,,2500.86,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,house_detached_2.0_2.0_0.0
80.0,working part time,professional,"20,001 - 25,000",owner-occupied,22.0,c1,3.0,house,detached,suburban,1983 - 1990,c,2.0,0.0,1.0,70.0,4.0,2.0,10.0,2.1,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - standard,fire - wood,water,110.0,0.0,0.0,1.0,no,no,1900.0,14900.0,6.516,82.7,15748.0,3372.0,506.0,,,yes,no,yes,yes,ashp,none required,12417.96,0.0,918.0,14.3,3.8,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_detached_1.0_2.0_0.0
27.0,working full time (>30hrs),professional,"16,201 - 20,000",owner-occupied,1.0,c1,4.0,house,end-terrace,urban,1967 - 1975,d,2.0,1.0,2.0,61.0,3.0,2.0,5.0,2.3,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - combi,,,,0.0,0.0,0.0,no,no,2250.0,7700.0,4.55,84.87,11024.0,2674.0,0.0,55.0,2.96,no,no,no,yes,hybrid,none required,9690.87,,547.0,14.3,3.8,yes,hybrid,separate_new boiler,daikin,ehy2komb28aa,4.0,r32,,,,,1.0,6.0,0.0,0.0,none,none,no,0.0,0.0,0.0,no,no,0.0,0.0,,no,5739.82,,,2315.87,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,house_end-terrace_2.0_2.0_1.0
62.0,working full time (>30hrs),manager,"30,001 - 40,000",owner-occupied,29.0,c1,5.0,house,mid-terrace,urban,1930 - 1949,,1.0,0.0,2.0,69.0,4.0,2.0,7.0,2.5,cavity_insulated,mix,pitched,double,yes,gas,gas boiler - combi,,,,0.0,0.0,1.0,no,no,1300.0,9000.0,6.29,91.17,15244.0,2636.0,0.0,53.0,2.99,no,no,no,yes,hybrid,none required,10245.07,,958.0,14.0,4.0,yes,hybrid,separate_new boiler,daikin,ehy2komb28aa,4.0,r32,,,,,1.0,6.0,0.0,0.0,none,none,no,0.0,0.0,0.0,no,no,0.0,0.0,,no,5739.8,,,2870.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,house_mid-terrace_2.0_1.0_0.0
71.0,retired,pensioner,"16,201 - 20,000",owner-occupied,34.0,de,3.0,house,detached,urban,1983 - 1990,,2.0,0.0,2.0,63.0,4.0,3.0,6.0,2.4,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - standard,fire - gas,water,110.0,0.0,1.0,0.0,no,no,4272.0,21459.0,4.573,72.85,11086.0,4002.0,181.0,,,yes,no,yes,yes,ashp,none required,11678.77,0.0,673.0,14.3,3.8,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_detached_2.0_2.0_0.0
67.0,retired,pensioner,"50,001+",owner-occupied,28.0,de,1.0,house,semi-detached,urban,1950 - 1966,f,5.0,0.0,2.0,110.0,5.0,3.0,8.0,2.5,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - combi,fire - gas,,,0.0,2.0,1.0,no,no,9747.0,20067.0,9.416,85.0,18874.0,3566.0,0.0,,,no,no,no,yes with additional measures,hybrid,loft insulation,10233.23,200.0,882.0,14.3,3.8,yes,hybrid,separate_new boiler,daikin,ehy2komb28aa,4.0,r32,,,,,6.0,9.0,0.0,0.0,none,none,no,0.0,0.0,0.0,no,yes,0.0,0.0,,no,5912.2,,,2685.85,0.0,500.0,0.0,0.0,0.0,0.0,2.0,0.5,house_semi-detached_2.0_5.0_0.0
37.0,working full time (>30hrs),professional,"50,001+",owner-occupied,8.0,ab,5.0,house,semi-detached,urban,1950 - 1966,,2.0,1.0,2.0,104.0,5.0,3.0,6.0,2.4,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - combi,,,,0.0,0.0,0.0,no,no,4565.0,16752.0,7.675,84.81,18594.7,3566.0,0.0,55.0,2.96,no,no,no,yes,hybrid,none required,10060.85,,857.0,14.3,3.8,yes,hybrid,separate_new boiler,daikin,ehy2komb28aa,4.0,r32,,,,,1.0,9.0,0.0,0.0,none,none,no,0.0,0.0,0.0,no,yes,0.0,0.0,,no,5739.82,,,2686.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,house_semi-detached_2.0_2.0_1.0
32.0,working full time (>30hrs),professional,"50,001+",owner-occupied,1.0,ab,1.0,house,mid-terrace,urban,1900 - 1929,d,3.0,0.0,2.0,75.4,4.0,3.0,6.0,2.5,cavity_insulated,solid,pitched,double,yes,gas,gas boiler - combi,,,,0.0,0.0,1.0,no,no,1917.0,11402.0,4.62,70.52,9254.0,3820.0,0.0,45.0,3.07,no,no,no,yes with additional measures,hybrid,loft insulation,10060.0,500.0,487.0,14.3,3.8,yes,hybrid,separate_new boiler,daikin,ehy2komb28aa,4.0,r32,,,,,1.0,9.0,0.0,0.0,none,none,no,0.0,0.0,0.0,no,yes,0.0,0.0,,no,5739.82,,,3240.05,0.0,500.0,0.0,0.0,0.0,0.0,2.0,0.5,house_mid-terrace_2.0_3.0_0.0
